ID,Text,Comment
Graphs.Metric.Total,Total beavers,
Graphs.Metric.Adults,Adults,
Graphs.Metric.Kits,Kits,
Graphs.Metric.Bots,Bots,
Graphs.Metric.Homeless,Homeless,
Graphs.Metric.OccupiedBeds,Occupied beds,
Graphs.Metric.FreeBeds,Free beds,
Graphs.Metric.UnemployedBeavers,Unemployed beavers,
Graphs.Metric.UnemployedBots,Unemployed bots,
Graphs.Metric.BeaverJobs,Jobs filled (beavers),
Graphs.Metric.BotJobs,Jobs filled (bots),
Graphs.Metric.BeaverVacancies,Vacancies (beavers),
Graphs.Metric.BotVacancies,Vacancies (bots),
Graphs.Metric.Contaminated,Contaminated,
Graphs.Metric.Infected,Infected,
Graphs.Metric.ScienceStored,Science stored,
Graphs.Metric.Wellbeing,Average wellbeing,
Graphs.Metric.Hunger,Hunger,
Graphs.Metric.Thirst,Thirst,
