ID,Text,Comment
LogBook.Metric.Total,Total beavers,
LogBook.Metric.Adults,Adults,
LogBook.Metric.Kits,Kits,
LogBook.Metric.Bots,Bots,
LogBook.Metric.Homeless,Homeless,
LogBook.Metric.OccupiedBeds,Occupied beds,
LogBook.Metric.FreeBeds,Free beds,
LogBook.Metric.UnemployedBeavers,Unemployed,
LogBook.Metric.UnemployedBots,Unemployed,
LogBook.Metric.BeaverJobs,Jobs filled,
LogBook.Metric.BotJobs,Jobs filled,
LogBook.Metric.BeaverVacancies,Vacancies,
LogBook.Metric.BotVacancies,Vacancies,
LogBook.Metric.Contaminated,Contaminated,
LogBook.Metric.Infected,Infected,
LogBook.Metric.ScienceStored,Science stored,
LogBook.Metric.Wellbeing,Wellbeing,
LogBook.Metric.Hunger,Hunger,
LogBook.Metric.Thirst,Thirst,
